team_id,year,school_id,class_id,student_id,role,gender,gender_prob,gender_adj,team_coed,school_single_sex,school_icsea,sector,locale
7,2025,S083,S083_C01,3,mechanics_lead,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,mechanics_lead,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,narrative_designer,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,narrative_designer,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,2,narrative_designer,male,0.95,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,narrative_designer,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,3,project_manager,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,3,project_manager,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,3,project_manager,male,0.6,unknown,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,4,project_manager,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,1,team_captain,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,team_captain,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,team_captain,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
7,2025,S083,S083_C01,5,team_captain,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,1,art_lead,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,2,custom_role,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,2,custom_role,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,2,head_scientist,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,2,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,1,narrative_designer,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,3,project_manager,male,0.85,unknown,NA,coed,1110,Non-government,Metropolitan
9,2025,S083,S083_C01,1,team_captain,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,2,art_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,3,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,3,custom_role,male,0.99,male,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,1,head_scientist,female,0.98,female,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,2,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,4,narrative_designer,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,4,project_manager,female,0.97,female,NA,coed,1110,Non-government,Metropolitan
10,2025,S083,S083_C01,1,team_captain,female,0.98,female,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,art_lead,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,art_lead,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,custom_role,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,custom_role,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,3,custom_role,NA,NA,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,3,custom_role,NA,NA,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,head_scientist,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,head_scientist,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,2,mechanics_lead,male,0.98,male,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,narrative_designer,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,narrative_designer,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,3,project_manager,NA,NA,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,3,project_manager,NA,NA,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,team_captain,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
11,2025,S083,S083_C01,1,team_captain,male,0.83,unknown,NA,coed,1110,Non-government,Metropolitan
12,2025,S083,S083_C01,3,art_lead,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
12,2025,S083,S083_C01,2,mechanics_lead,male,0.65,unknown,NA,coed,1110,Non-government,Metropolitan
12,2025,S083,S083_C01,1,narrative_designer,female,0.99,female,NA,coed,1110,Non-government,Metropolitan
12,2025,S083,S083_C01,4,team_captain,male,0.95,male,NA,coed,1110,Non-government,Metropolitan
14,2025,S028,S028_C01,4,art_lead,female,1,female,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,2,head_scientist,female,0.86,unknown,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,1,mechanics_lead,female,0.9,female,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,4,mechanics_lead,female,1,female,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,2,narrative_designer,female,0.86,unknown,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,3,narrative_designer,male,1,male,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,1,project_manager,female,0.9,female,NA,coed,860,Government,Remote
14,2025,S028,S028_C01,3,team_captain,male,1,male,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,3,art_lead,female,0.99,female,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,2,head_scientist,female,0.92,female,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,4,mechanics_lead,male,0.86,unknown,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,5,narrative_designer,female,0.99,female,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,3,project_manager,female,0.99,female,NA,coed,860,Government,Remote
15,2025,S028,S028_C01,1,team_captain,female,1,female,NA,coed,860,Government,Remote
16,2025,S102,S102_C02,2,art_lead,male,0.9,male,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,1,custom_role,NA,NA,unknown,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,1,custom_role,NA,NA,unknown,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,3,head_scientist,female,0.73,unknown,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,2,mechanics_lead,male,0.9,male,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,4,narrative_designer,male,0.97,male,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,3,project_manager,female,0.73,unknown,NA,NA,NA,NA,NA
16,2025,S102,S102_C02,3,team_captain,female,0.73,unknown,NA,NA,NA,NA,NA
17,2025,S105,S105_C01,3,art_lead,male,0.67,unknown,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,4,custom_role,NA,NA,unknown,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,4,custom_role,NA,NA,unknown,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,2,head_scientist,male,0.97,male,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,1,mechanics_lead,male,0.91,male,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,2,narrative_designer,male,0.97,male,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,1,project_manager,male,0.91,male,NA,coed,1020,Government,Metropolitan
17,2025,S105,S105_C01,1,team_captain,male,0.91,male,NA,coed,1020,Government,Metropolitan
18,2025,S105,S105_C01,5,art_lead,female,0.87,unknown,NA,coed,1020,Government,Metropolitan
18,2025,S105,S105_C01,3,head_scientist,female,0.99,female,NA,coed,1020,Government,Metropolitan
18,2025,S105,S105_C01,4,narrative_designer,female,1,female,NA,coed,1020,Government,Metropolitan
18,2025,S105,S105_C01,2,project_manager,female,0.99,female,NA,coed,1020,Government,Metropolitan
18,2025,S105,S105_C01,1,team_captain,female,0.81,unknown,NA,coed,1020,Government,Metropolitan
19,2025,S105,S105_C01,4,art_lead,male,0.96,male,NA,coed,1020,Government,Metropolitan
